Case Number,Date,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Species,Investigator or Source,pdf,href formula,original order,Date_alterated
2005.06.18,2005-06-18 00:00:00,Invalid,USA,Hawaii,Maui,Swimming,M,"no injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",N,,www.mauinews.com,2005.06.18-Grissom.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.06.18-Grissom.pdf,4640,No
2005.06.16,2005-06-16 00:00:00,Unprovoked,USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Swimming,M,foot bitten,N,"Unknown, but it was reported that a shark tooth was recovered from the wound",Local6.com,2005.06.16-male.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.06.16-male.pdf,4639,No
2005.06.13,2005-06-13 00:00:00,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Dando/Kaeui Island,Diving,F,knee bitten,N,3 m [10'] white shark,"Korea Times, 6/13/2005 ",2005.06.13-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.06.13-Lee.pdf,4638,No
2005.06.07,2005-06-07 00:00:00,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Boarding,F,foot lacerated,N,,"C. Creswell, GSAF;  N. Kenney, NewsChannel 19",2005.06.07-Cochrane.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.06.07-Cochrane.pdf,4637,No
2005.06.05,2005-06-05 00:00:00,Invalid,USA,New Jersey,"Surf City, Long Beach Island, Ocean County",Surfing,M,dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,N,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident","Mr. Horton; R. Collier,  R. Fernicola; M. Levine, E. Ritter, GSAF ",2005.06.05-Horton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.06.05-Horton.pdf,4636,No
2005.06.04,2005-06-04 00:00:00,Unprovoked,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing,M,fatal,Y,White shark,News24.com; SABC; H. Steele,2005.06.04-HenriMurray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.06.04-HenriMurray.pdf,4635,No
2005.06.02,2005-06-02 00:00:00,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Wading,M,two 2-inch lacerations on right foot,N,,KRIS6 News,2005.06.02-Texas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.06.02-Texas.pdf,4634,No
2005.05.28,2005-05-28 00:00:00,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,left foot bitten,N,"""small shark""","Daytona Beach News Journal, 5/29/2005; Orlando Sentinel, 5/30/2005, p.B3",2005.05.28-Garcia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.05.28-Garcia.pdf,4633,No
2005.05.27,2005-05-27 00:00:00,Unprovoked,USA,Florida,"Sand Key Beach, Clearwater, Pinellas County",Crouching,F,right arm & torso bitten,N,"18"" to 36"" shark","D.Wilhoit, The Ledger, 5/29/ 2005",2005.05.27-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.05.27-Smith.pdf,4632,No
2005.05.25,2005-05-25 00:00:00,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Surfing,M,left buttock  & legs lacerated,N,Raggedtooth shark,"C. Prince, East London Daily Dispatch, 5/26/2005;  SABC News",2005.05.25-Catherall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.05.25-Catherall.pdf,4631,No
2005.05.15,2005-05-15 00:00:00,Unprovoked,AUSTRALIA,Queensland,50 km east of Townsville,Spearfishing,M,severe injury to lower leg,N,Blacktip shark,"J. Anderson, Townsville Bulletin, 5/21/2005 ",2005.05.15-Edelstein.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.05.15-Edelstein.pdf,4630,No
2005.05.14,2005-05-14 00:00:00,Unprovoked,USA,Hawaii,"North Kihei, Maui",Kayaking,,"no injury, shark bit kayak",N,"Tiger shark, 8' to 9' ",Hawaii Department of Land and Natural Resources,2005.05.14-Bailey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.05.14-Bailey.pdf,4629,No
2005.05.03,2005-05-03 00:00:00,Unprovoked,MADAGASCAR,nan,nan,Fishing,M,thigh bitten,N,2.5 m shark,"Clicanoo, 5/6/2005, 5/7/2005",2005.05.03-Sochodjin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.05.03-Sochodjin.pdf,4628,No
2005.05.02.R,2005-05-02 00:00:00,Sea Disaster,USA,South Carolina,Off Sullivans Island,,M,no injury,N,,"Gaffney Ledger, 5/2/2005",2005.05.02.R-NC-boysAdrift.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.05.02.R-NC-boysAdrift.pdf,4627,No
2005.05.02,2005-05-02 00:00:00,Unprovoked,USA,Hawaii,"Noreiga's, Maui",Surfing,M,"no injury, board damaged",N,"Tiger shark, 3 m [10']","T. Hurley, Honolulu Advertiser; L. Fujimoto, Maui News, 5/3/2005 ",2005.05.02.a-Hoyt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.05.02.a-Hoyt.pdf,4626,No
2005.04.25,2005-04-25 00:00:00,Provoked,AUSTRALIA,New South Wales,Bermagui,Fishing,M,laceration on left thigh provoked incident,N,"Mako shark, 1.5 m [5'] ","Brisbane Courier Mail, 4/26/2005",2005.04.25-deckhand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.04.25-deckhand.pdf,4625,No
2005.04.17.R,2005-04-17 00:00:00,Unprovoked,AUSTRALIA,New South Wales,Crookhaven,,,shark-bitten surfboard found adrift,N,,"Illawarra Mercury, 4/17/2005",2005.04.17.a-Crookhaven.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.04.17.a-Crookhaven.pdf,4624,No
2005.04.16.b,2005-04-16 00:00:00,Unprovoked,AUSTRALIA,Northern Territory,Bremer Island,Spearfishing,M,minor cuts above his right eye,N,2 m [6.75'] copper shark,"G. McLean, Northern Territory News; Sunday Territorian, 4/17/2005, p.6",2005.04.16.b-Deane.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.04.16.b-Deane.pdf,4623,No
2005.04.16.a,2005-04-16 00:00:00,Unprovoked,AUSTRALIA,New South Wales,Bronte Beach,Surfing,M,"no injury, board bitten",N,Bronze whaler shark,The Sun; Illwarra Mercury; Yahoo News,2005.04.16.a-Letch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.04.16.a-Letch.pdf,4622,No
2005.04.13,2005-04-13 00:00:00,Unprovoked,USA,Florida,"Crescent Beach, Sarasota County",Wading,F,right lower leg bitten,N,1.8 m [6'] blacktip shark,Herald Tribune.com,2005.04.13-Lynch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.04.13-Lynch.pdf,4621,No
2005.04.09,2005-04-09 00:00:00,Invalid,USA,Florida,"Central Gulf Coast, St. John County",Surfing,M,foot injured,N,Shark involvement not confirmed,"WTSP TampaBays10.com; First Coast News, April 10, 2005 ",2005.04.09-Henderson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.04.09-Henderson.pdf,4620,No
2005.04.07,2005-04-07 00:00:00,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County",Surfing,M,left foot bitten,N,,"G. Ferrario; J. Mendoza, Cameron County Parks; The Herald (Brownsville),  4/11/2005",2005.04.07-GianlucaFerrario.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.04.07-GianlucaFerrario.pdf,4619,No
2005.04.06,2005-04-06 00:00:00,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,left calf injured,N,small hammerhead shark,WJXT News4Jax.com,2005.04.06.a-Abe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.04.06.a-Abe.pdf,4618,No
2005.04.06,2005-04-06 00:00:00,Invalid,HONDURAS,Bay Islands,Utila,Diving,F,"laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",N,Shark involvement not confirmed,"J. Engel, SRI & S. Fox, Deep Blue",2005.04.06.b-Utila.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.04.06.b-Utila.pdf,4617,No
2005.03.28,2005-03-28 00:00:00,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,"lacerations to right calf, puncture wounds on right foot",N,4 m [13'] shark,"ITN, 3/30/2005",2005.03.28-Sullivan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.03.28-Sullivan.pdf,4616,No
2005.03.27.R,2005-03-27 00:00:00,Unprovoked,AUSTRALIA,New South Wales,nan,Surfing,M,"no injury, shark rammed surfboard",N,,"Sunday Age, 3/27/2005",2005.03.27.R-Parker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.03.27.R-Parker.pdf,4615,No
2005.03.25,2005-03-25 00:00:00,Unprovoked,VENEZUELA,nan,Punta Caracas,Surfing,M,right leg bitten,N,,"A. Brenneka, GSAF",2005.03.25-Leizaola.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.03.25-Leizaola.pdf,4614,No
2005.03.19,2005-03-19 00:00:00,Unprovoked,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,fatal,Y,6 m [20'] white shark,"T. Peake, GSAF",2005.03.19-Brazier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.03.19-Brazier.pdf,4613,No
2005.03.12,2005-03-12 00:00:00,Provoked,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving,M,2 punctures on forearm as captive shark collided with diver provoked incident,N,"Sandtiger shark, 2.1 m [7'] ","H. Casman; T. Dukart, KOBTV",2005.03.12-Pitts.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.03.12-Pitts.pdf,4612,No
2005.03.10,2005-03-10 00:00:00,Invalid,SOUTH AFRICA,KwaZulu-Natal,Isipingo,,M,shark bites post mortem,N,"Tiger shark, 2.5 m [8.25']","J. Govander, Nokia Sea Rescue, SAPA",2005.03.10-Arnachallan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.03.10-Arnachallan.pdf,4611,No
2005.03.09,2005-03-09 00:00:00,Provoked,NEW ZEALAND,North Island,"Waiapu River mouth , East Cape",Fishing,M,"no injury, netted shark dragged them 350 metres out to sea provoked incident",N,"Bronze whaler shark, 4.3 m [14'] ","R.D. Weeks, GSAF",2005.03.09-fishermen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.03.09-fishermen.pdf,4610,No
2005.03.05,2005-03-05 00:00:00,Unprovoked,SOLOMON ISLANDS,Santa Isabel Province,nan,Diving,M,thighs bitten,N,,"Solomon Star, 3/9/2005",2005.03.05-SolomonIslands.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.03.05-SolomonIslands.pdf,4609,No
2005.02.26,2005-02-26 00:00:00,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Swimming,M,finger bitten,N,Bull shark,Queensland Times,2005.02.26-Shaxson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.02.26-Shaxson.pdf,4608,No
2005.02.22,2005-02-22 00:00:00,Provoked,USA,Florida,"Long Key, Monroe County",Spearfishing,M,speared shark bit his chest provoked incident,N,"Nurse shark, 3' ",http://www.foldabikes.com/CurrentEvents/Story/Florida.html,2005.02.22-AlexMumzhiu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.02.22-AlexMumzhiu.pdf,4607,No
2005.02.16,2005-02-16 00:00:00,Unprovoked,USA,Hawaii,"Rocky Point, north shore of O'ahu",Surfing,M,"no injury, knocked off board, shark bit board",N,"Tiger shark, 2.4 m [8']"," R. Collier, GSAF;  T. Winters, Honolulu Advertiser, 2/17/2005 ",2005.02.16-Long.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.02.16-Long.pdf,4606,No
2005.02.13,2005-02-13 00:00:00,Unprovoked,USA,Florida,Fort Lauderdale,Spearfishing,M,hand bitten,N,1.8 m [6'] Caribbean reef shark,J. Herrera,2005.02.13-FtLauderdale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.02.13-FtLauderdale.pdf,4605,No
2005.02.04,2005-02-04 00:00:00,Unprovoked,BRAZIL,Bahia,Ilhéus,Surfing,M,right thigh & ankle injured,N,,"Orlando Sentinel, 2/5/2005, p.A6",2005.02.04-Pereira.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.02.04-Pereira.pdf,4604,No
2005.01.20,2005-01-20 00:00:00,Unprovoked,CUBA,Santiago de Cuba Province,Uvero,Swimming,M,left foot severed,N,3 m [10'] shark,Cuba News,2005.01.20-Jerez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.01.20-Jerez.pdf,4603,No
2005.01.19,2005-01-19 00:00:00,Provoked,AUSTRALIA,Victoria,Port Phillip Bay,Spearfishing,M,no injury. towed by speared shark provoked incident,N,3 m shark,Herald Sun News,2005.01.19-McLaughlin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.01.19-McLaughlin.pdf,4602,No
2005.01.14,2005-01-14 00:00:00,Provoked,AUSTRALIA,Victoria,Blairgowrie,Attempting,,"no injury to occupants, one of the boat's flotation tanks holed provoked incident",N,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  ",Herald Sun News,2005.01.14-raceboat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.01.14-raceboat.pdf,4601,No
2005.01.08,2005-01-08 00:00:00,Unprovoked,NEW ZEALAND,North Island,Taupiri Bay,Fishing,M,"no injury, kayak bumped repeatedly",N,White shark,"R. Collier & R.D. Weeks, GSAF                ",2005.01.08-PaulMorris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2005.01.08-PaulMorris.pdf,4600,No
2004.12.26,2004-12-26 00:00:00,Invalid,SRI LANKA,Eastern Province,Pasikudha,,F,no injury,N,No shark involvement,"R.D. Weeks, GSAF",2004.12.26-Lucas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.12.26-Lucas.pdf,4599,No
2004.12.16,2004-12-16 00:00:00,Unprovoked,AUSTRALIA,South Australia,"West Beach, Adelaide",Scurfing,M,fatal,Y,4.5 m & 5 m white shark ,"P. Kemp & T. Peake, GSAF",2004.12.16-Peterson-draft.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.12.16-Peterson-draft.pdf,4598,No
2004.12.11,2004-12-11 00:00:00,Unprovoked,AUSTRALIA,Queensland,Opal Reef,Spearfishing,M,"fatal, leg bitten",Y,Bull shark,"Weekend Australian, 2/17/2005, et al.",2004.12.11-Thompson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.12.11-Thompson.pdf,4597,No
2004.11.27,2004-11-27 00:00:00,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,3 lacerations on foot,N,Raggedtooth shark,J. Eager,2004.11.27-Maske.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.11.27-Maske.pdf,4596,No
2004.11.26,2004-11-26 00:00:00,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing,M,lacerations on lower leg & foot,N,Raggedtooth shark,J. Eager,2004.11.26-ArnoDeBruyn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.11.26-ArnoDeBruyn.pdf,4595,No
2004.11.15,2004-11-15 00:00:00,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,fatal,Y,6 m [20'] white shark,"J.P. Botha, GSAF",2004.11.15-TynaWebb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.11.15-TynaWebb.pdf,4594,No
2004.11.11.b,2004-11-11 00:00:00,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,,"lacerations to hand, knee & thigh",N,5.5 m [18'] white shark,"R. Collier, GSAF                ",2004.11.11.b-Kang.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.11.11.b-Kang.pdf,4593,No
2004.11.11.a,2004-11-11 00:00:00,Unprovoked,VANUATU,Malampa Province,Malakula (Malakula Island),Snorkeling,M,thigh bitten,N,,"R. Harris, M.D., T. Peake, GSAF",2004.11.11.a-Vanuatu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.11.11.a-Vanuatu.pdf,4592,No
2004.11.00,2004-11-01 00:00:00,Unprovoked,NEW CALEDONIA,North Province,Koumac,Diving,,forearm bitten,N,3 m shark,"Les Nouvelles Caledoniennes, 11/19/2004",2004.11.00-Koumac.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.11.00-Koumac.pdf,4591,Yes
2004.10.31,2004-10-31 00:00:00,Unprovoked,CUBA,Camaguey Province,Santa Lucia,Diving,M,left forearm bitten,N,2.5 m [8.25'] bull shark,"E. Ritter, GSAF",2004.10.31-CubanSharkFeed.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.31-CubanSharkFeed.pdf,4590,No
2004.10.30.x,2004-10-30 00:00:00,Invalid,NEW ZEALAND,North Island,Whangarei,,,no injury,N,3 m white shark,"New Zealand Herald, 11/24/2004/15/2004",2004.10.30.x-NewZealand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.30.x-NewZealand.pdf,4589,No
2004.10.30.a,2004-10-30 00:00:00,Unprovoked,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming,M,right ankle & foot lacerated,N,2 m [6.75'] white shark,"J.P. Botha, GSAF",2004.10.30.a-Hartman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.30.a-Hartman.pdf,4588,No
2004.10.21,2004-10-21 00:00:00,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,right foot lacerated,N,"Bronze whaler shark, 2.4 m [8'] ","The Border Mail, 10/23/2004",2004.10.21-Gresham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.21-Gresham.pdf,4587,No
2004.10.10,2004-10-10 00:00:00,Unprovoked,USA,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,lower leg bitten,N,1.8 m to 2.4 m [6' to 8'] white shark,"R. Collier, GSAF",2004.10.10-deJung.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.10-deJung.pdf,4586,No
2004.10.09.b,2004-10-09 00:00:00,Unprovoked,USA,Hawaii,Moloka'i,Spearfishing,M,left shoulder bitten,N,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ","The Maui News, 10/10/2004 ",2004.10.09.b-Sanada.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.09.b-Sanada.pdf,4585,No
2004.10.09.a,2004-10-09 00:00:00,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Surfing,M,puncture wounds on right foot,N,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']","Sunday Argus, 10/10/2004; W. Steenkamp, Cape Times 10/9/2004",2004.10.09.a-Monk.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.09.a-Monk.pdf,4584,No
2004.10.06,2004-10-06 00:00:00,Unprovoked,REUNION,Conservatória District,"P' tit Paris, Saint-Pierre",Boarding,M,"leg severely bitten, surgically amputated",N,Thought to involve a 2.5 m bull or tiger shark,Federation Francaise de Surf,2004.10.06-Motais.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.06-Motais.pdf,4583,No
2004.10.02,2004-10-02 00:00:00,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,"no injury, knocked off surfboard",N,,"R. Collier, GSAF",2004.10.02-Ikola.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.02-Ikola.pdf,4582,No
2004.10.01,2004-10-01 00:00:00,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,"no injury, shark struck board & spun it around",N,,"R. Collier, GSAF",2004.10.01-Wilson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.10.01-Wilson.pdf,4581,No
2004.09.25,2004-09-25 00:00:00,Boat,AUSTRALIA,Queensland,Batt Reef,Spearfishing,M,"no injury to occupants, boat damaged",N,"Tiger shark, 3 m [10'] ","R. Collier, GSAF",2004.09.25-CroppBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.09.25-CroppBoat.pdf,4580,No
2004.09.20,2004-09-20 00:00:00,Unprovoked,USA,Oregon,Gold  Beach,Surfing,M,leg bitten,N,White shark,"S. Mead, R. Collier, J. Eager, B. Middleton",2004.09.20-Mead.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.09.20-Mead.pdf,4579,No
2004.09.10,2004-09-10 00:00:00,Invalid,USA,Texas,South Padre Island,Fishing,M,minor scratch on calf,N,Shark involvement questionable,M. Shields,2004.09.10-SouthPadreIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.09.10-SouthPadreIsland.pdf,4578,No
2004.09.08,2004-09-08 00:00:00,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Swimming,,fatal,Y,,JCOnline,2004.09.08-Pina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.09.08-Pina.pdf,4577,No
2004.09.04,2004-09-04 00:00:00,Unprovoked,USA,South Carolina,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,left knee & leg bitten,N,2.4 m [8'] shark,"C. Creswell, GSAF",2004.09.04-Durham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.09.04-Durham.pdf,4576,No
2004.08.29,2004-08-29 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,heel bitten,N,,"T. Jerome, GSAF; Daytona Beach News Journal, 8/31/2004",2004.08.29-Salamone.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.08.29-Salamone.pdf,4575,No
2004.08.21,2004-08-21 00:00:00,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Bathing,M,calf bitten & both hands injured,N,"Tiger shark, 1.5 m ","P. M. Lopes, GSAF, 8/22/2004",2004.08.21-daSilva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.08.21-daSilva.pdf,4574,No
2004.08.20,2004-08-20 00:00:00,Unprovoked,USA,California,"204s, San Clemente, Orange County",Surfing,M,foot bitten,N,0.9 m to 1.2 m [3' to 4'] white shark,"R. Collier, GSAF",2004.08.20-Lehmann.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.08.20-Lehmann.pdf,4573,No
2004.08.15,2004-08-15 00:00:00,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,fatal,Y,4.9 m to 5.5 m [16' to 18'] white shark,"R. Collier & L. Levine, GSAF",2004.08.15-Fry.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.08.15-Fry.pdf,4572,No
2004.08.06,2004-08-06 00:00:00,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County",Swimming,M,"back, buttocks, left hand & left side of face bitten",N,1.2 m [4'] shark,"T. Jerome, GSAF",2004.08.06-Tiffee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.08.06-Tiffee.pdf,4571,No
2004.08.03,2004-08-03 00:00:00,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Spearfishing,M,minor puncture wounds to leg,N,,"T. Peake, GSAF",2004.08.03-ByronBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.08.03-ByronBay.pdf,4570,No
2004.08.00,2004-08-01 00:00:00,Boat,SOUTH AFRICA,KwaZulu-Natal,Park Rynie,Fishing,,no injury to occupants; boat damaged,N,3 m to 4 m [10' to 13']  white shark,"J. Eager, scubaradio.com",2004.08.00-SAboats.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.08.00-SAboats.pdf,4569,Yes
2004.07.31,2004-07-31 00:00:00,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,right foot bitten,N,,"C. Creswell, GSAF",2004.07.31-Getzfread.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.31-Getzfread.pdf,4568,No
2004.07.30,2004-07-30 00:00:00,Unprovoked,RUSSIA,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",Diving,M,thigh & calf bitten,N,White shark,"M. Gozum & J. Eager, scubaradio.com",2004.07.30-Skutelnik.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.30-Skutelnik.pdf,4567,No
2004.07.28,2004-07-28 00:00:00,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,right calf bitten,N,,"C.Delneo, C. Creswell, M. Levine, R. Collier, GSAF",2004.07.28-Delneo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.28-Delneo.pdf,4566,No
2004.07.27.b,2004-07-27 00:00:00,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,right forearm & wrist lacerated,N,1.8 m [6'] shark,"C. Creswell, GSAF",2004.07.27.b-Huesgen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.27.b-Huesgen.pdf,4565,No
2004.07.27.a,2004-07-27 00:00:00,Unprovoked,USA,Texas,Galveston Island,Swimming,F,right foot bitten,N,1.2 m to 1.5 m [4' to 5'] shark,KETK56 News,2004.07.27.a-Hailey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.27.a-Hailey.pdf,4564,No
2004.07.25,2004-07-25 00:00:00,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",Wading,M,right forearm nearly severed and bites above & below the right knee,N,Bull shark,KRISTV.com,2004.07.25-AaronPerez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.25-AaronPerez.pdf,4563,No
2004.07.19.R,2004-07-19 00:00:00,Boat,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth",Fishing,,"no injury to occupants; shark mouthed motor, severed anchor line",N,4 m [13'] white shark,"Channel 9; Northern Territory News, 7/20/2004, p.10 ",2004.07.19.R-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.19.R-boat.pdf,4562,No
2004.07.15,2004-07-15 00:00:00,Unprovoked,JAPAN,Wakayama Prefecture,Susami,Fishing,M,suffered broken ribs when the shark's tail fin slammed into his chest,N,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ","Mainichi Shimbun, 7/17/2004 ",2004.07.15-Torimi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.15-Torimi.pdf,4561,No
2004.07.10,2004-07-10 00:00:00,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,"fatal, abdomen, pelvis & leg bitten",Y,"2 sharks, 4.5 m & 3 m ","T. Peake, GSAF",2004.07.10-BradSmith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.10-BradSmith.pdf,4560,No
2004.07.02.b,2004-07-02 00:00:00,Unprovoked,EGYPT,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,hand severed,N,"""black tipped"" shark","E. Ritter, GSAF; iwindsurf.co.uk",2004.07.02.b-MiriamBuser.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2004.07.02.b-MiriamBuser.pdf,4559,No
