Date,Contrat de travail,Collège,Tranche d'âge,Effectif
2010,Agents au statut,Cadre supérieur,De 45 à 54 ans,776
2010,Agents au statut,Maîtrise,Moins de 18 ans,0
2010,Agents au statut,Cadre supérieur,55 ans et plus,284
2012,Agents contractuels,Maîtrise,De 25 à 34 ans,315
2012,Agents au statut,Maîtrise,De 18 à 24 ans,1055
2012,Agents au statut,Maîtrise,55 ans et plus,4581
2017,Agents contractuels,Exécution roulant trains,De 45 à 54 ans,80
2017,Agents contractuels,Cadre,55 ans et plus,583
2014,Agents contractuels,Exécution roulant conduite,De 35 à 44 ans,172
2014,Agents contractuels,Exécution roulant conduite,55 ans et plus,4
2014,Agents au statut,Exécution roulant conduite,Moins de 18 ans,0
2014,Agents au statut,Exécution roulant trains,De 18 à 24 ans,200
2011,Agents au statut,Exécution roulant conduite,Moins de 18 ans,0
2011,Agents au statut,Exécution roulant trains,De 45 à 54 ans,1556
2011,Agents au statut,Cadre supérieur,55 ans et plus,310
2010,Agents contractuels,Cadre,Moins de 18 ans,0
2016,Agents contractuels,Exécution roulant trains,De 35 à 44 ans,317
2017,Agents au statut,Cadre,De 45 à 54 ans,8784
2011,Agents au statut,Exécution sédentaires,De 45 à 54 ans,14206
2011,Agents au statut,Maîtrise,De 35 à 44 ans,11380
2015,Agents contractuels,Cadre,De 45 à 54 ans,1146
2012,Agents au statut,Exécution roulant trains,De 35 à 44 ans,3236
2012,Agents au statut,Exécution sédentaires,De 18 à 24 ans,4509
2012,Agents au statut,Cadre supérieur,De 45 à 54 ans,811
2013,Agents contractuels,Exécution sédentaire,Moins de 18 ans,0
2010,Agents contractuels,Exécution roulant trains,De 25 à 34 ans,71
2010,Agents au statut,Exécution sédentaires,De 35 à 44 ans,14687
2010,Agents contractuels,Cadre,De 25 à 34 ans,276
2010,Agents au statut,Cadre,De 35 à 44 ans,6979
2014,Agents contractuels,Exécution sédentaires,De 45 à 54 ans,900
2014,Agents au statut,Exécution sédentaire,De 18 à 24 ans,4328
2014,Agents contractuels,Maîtrise,Moins de 18 ans,0
2012,Agents au statut,Exécution roulant conduite,De 18 à 24 ans,493
2011,Agents contractuels,Cadre,De 35 à 44 ans,778
2017,Agents au statut,Maîtrise,De 45 à 54 ans,12744
2017,Agents au statut,Cadre,De 35 à 44 ans,8849
2015,Agents au statut,Cadre,De 35 à 44 ans,8569
2010,Agents contractuels,Exécution sédentaires,De 18 à 24 ans,1070
2011,Agents au statut,Exécution sédentaires,Moins de 18 ans,0
2011,Agents au statut,Cadre,De 45 à 54 ans,11562
2011,Agents au statut,Cadre,Moins de 18 ans,0
2013,Agents contractuels,Exécution roulant trains,De 35 à 44 ans,176
2012,Agents contractuels,Exécution roulant conduite,De 25 à 34 ans,65
2012,Agents contractuels,Exécution sédentaires,55 ans et plus,678
2012,Agents contractuels,Cadre,De 25 à 34 ans,409
2012,Agents contractuels,Cadre,De 35 à 44 ans,904
2013,Agents au statut,Exécution roulant trains,De 45 à 54 ans,1207
2013,Agents au statut,Exécution roulant trains,55 ans et plus,166
2013,Agents au statut,Cadre supérieur,De 45 à 54 ans,803
2013,Agents au statut,Cadre supérieur,De 25 à 34 ans,8
2010,Agents au statut,Exécution roulant trains,55 ans et plus,89
2013,Agents contractuels,Exécution roulant trains,55 ans et plus,2
2013,Agents au statut,Cadre,De 18 à 24 ans,207
2014,Agents contractuels,Exécution roulant trains,De 35 à 44 ans,211
2014,Agents contractuels,Exécution roulant trains,Moins de 18 ans,0
2015,Agents contractuels,Exécution roulant conduite,55 ans et plus,24
2014,Agents contractuels,Exécution roulant conduite,De 25 à 34 ans,79
2014,Agents au statut,Exécution roulant conduite,De 45 à 49 ans,2513
2014,Agents au statut,Exécution sédentaire,De 35 à 44 ans,14441
2014,Agents contractuels,Cadre,De 45 à 54 ans,1102
2014,Agents contractuels,Cadre,55 ans et plus,451
2016,Agents contractuels,Exécution roulant trains,De 18 à 24 ans,170
2016,Agents contractuels,Cadre,De 35 à 44 ans,1809
2016,Agents au statut,Cadre,Moins de 18 ans,0
2010,Agents contractuels,Exécution roulant conduite,De 35 à 44 ans,41
2010,Agents contractuels,Exécution roulant conduite,De 18 à 24 ans,2
2011,Agents au statut,Cadre,De 25 à 34 ans,3440
2017,Agents contractuels,Maîtrise,De 45 à 54 ans,1063
